"fid";"name";"härad";"kommun";"län";"alternative_names";"comments";"type_swedish";"border_changes";"floraprovins";"type_english";"origin";"VUnique";"North";"NorthWGS84";"north_maxWGS84";"north_minWGS84";"east_minWGS84";"east_maxWGS84";"East";"eastWGS84";"eastRT90";"northRT90";"east_minCircle";"north_minCircle";"distCentroid";"distMinCircle";"EastMiniCircle";"NorthMinCircle"
"11";"Överenhörna";"Selebo";"Södertälje";"Stockholms län";"Öfverenhörna, Över Enhörna, Över-Enhörna, Öfver-Enhörna, Husaby Enhörna";"";"socken";"1869 - Kalvsund 1/2 och Morlöt 1/4 hörde enligt jordeboken till Ytterenhörna socken. Hemmanen, som voro belägna i och i kyrklgit och kommunalt avsende tillhörde Överenhörna, flyttades i jordeboken från Ytterenhörna itll Övernhörna genom kungligt brev 18/6 1869 (Lagerstedt, 1973)
1948 - Överenhörna landskommun uppgick i Enhörna landskommun (Wikipedia)
1967 - Enhörna landskommun uppgick Södertälje stad (Wikipedia)";"Södermanland";"parish";"medeltida";"Överenhörna--Södermanland";"6577170";"59.3111116722476";"59.3517443261661";"59.2682685597092";"17.3350572252448";"17.5030527375084";"637024";"17.4070921847682";"1591235";"6577790";"636789";"6577353";"6107";"5813";"17.4167556231204";"59.3192046617749"
"12";"Östra Ryd";"Danderyds skeppslag";"Österåker & Vaxholm";"Stockholms län";"Ryd";"Ryds socken i Danderyds skepslag fick namnet Östra Ryd genom kungligt brev 23/8 1940. Socknen kallades Östra Ryd även omkring 1640 (Lagerstedt, 1973)
Vågsjö ligger i Täby kommun, Storholmen i Lidingö kommun.";"socken";"1844 - Vågsjö 1 1/8, som enligt jordeboken hörde till Täby socken men i kyrkligt avsende delvis tillhörde Östra Ryd, flyttades dit i övriga avsenden genom kungligt brev 22/2 1844 (Lagerstedt, 1973)
1952 -  Östra Ryds landskommun uppgick i Österåkers landskommun (Wikipedia)";"Uppland";"parish";"medeltida
Östra Ryds socken har medeltida ursprung. 1652 utbröts Vaxholms stad (Wikipedia)";"Östra Ryd--Uppland";"6592169";"59.42844945299";"59.5032286588041";"59.3724348343934";"18.1100081182517";"18.3585724973733";"682414";"18.2158451523941";"1636814";"6592241";"682873";"6593431";"9990";"9349";"18.2339060587862";"59.4531771137796"
"13";"Österåker";"Åkers skeppslag";"Österåker";"Stockholms län";"Åker, Öster Åker, Öster-Åker";"Åkers socken i Åkers skepslag fick genom kungligt brev 24/5 1889 namnet Österåker, som den sedan tidigare kallats som kyrksocken och kommun (Lagerstedt, 1973)";"socken";"";"Uppland";"parish";"medeltida";"Österåker--Uppland";"6599846";"59.4934071071271";"59.5663682930387";"59.4119975553555";"18.2008997444966";"18.5550427038836";"691087";"18.3754046745436";"1645581";"6599814";"691276";"6600652";"10702";"10259";"18.3779712241901";"59.5041335928064"
"14";"Östertälje";"Öknebo";"Södertälje";"Stockholms län";"Öster-Tälje, Östertelge, Öster Telje, Öster-Telje";"";"socken";"1912 - Fogdetorp 1/4 överfördes till Södertälje stad (Enligt kungligt brev 6 december 1912) (Wikipedia)
1952 - Tveta landskommun uppgick i Östertälje landskommun (Wikipedia)
1963 - Tveta landskommun uppgick i Södertälje stad (Wikipedia)";"Södermanland";"parish";"medeltida";"Östertälje--Södermanland";"6562697";"59.1754787586822";"59.2212616785905";"59.132638979614";"17.6514240322252";"17.7427118096251";"653880";"17.6925676075503";"1607919";"6563109";"653089";"6562830";"5193";"4939";"17.6949291169117";"59.1793369781742"
"15";"Österhaninge";"Sotholm";"Haninge";"Stockholms län";"Öster-Haninge, Österhanninge, Öster-Hanninge";"";"socken";"1939 - En midre del av Österhaninge flyttades till Dalarö genom kungligt brev 27/1 1939 (Lagerstedt, 1973)";"Södermanland";"parish";"medeltida
Ur Österhaninge utbröts Utö socken, Nämdö socken och Ornö socken 1607, samt Tyresö socken 1636 (Wikipedia)";"Österhaninge--Södermanland";"6559361";"59.1329668330203";"59.2177728975717";"59.0433703190225";"18.0916110195284";"18.4231122566787";"685479";"18.2416870617259";"1639483";"6559391";"685767";"6559502";"10441";"10136";"18.2573616381035";"59.1498876204707"
"16";"Össeby-Garn";"Vallentuna";"Vallentuna";"Stockholms län";"Össeby, Garn, Ösby Garn, Ösby, Ösbygarn, Össebygarn";"Här räknas Össeby och Garns socknar som delar av Össeby-Garns socken.";"socken";"1838 - slogs Össeby och Garns socken samman och bildade Össeby-Garns socken (Wikipedia)
1952 -  Össeby-Garns landskommun uppgick i Össeby landskommun (Wikipedia)";"Uppland";"parish";"medeltida";"Össeby-Garn--Uppland";"6608358";"59.5717836374736";"59.6361952960106";"59.4922486066125";"18.1748116497145";"18.4371699098734";"686503";"18.3020491805125";"1641100";"6608383";"685944";"6607005";"10515";"9066";"18.3060441995295";"59.558663559413"
"17";"Grimeton";"Himle";"Varberg";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Grimeton--Halland";"6332084";"57.1061210465107";"57.1343594340326";"57.0783162957915";"12.3768221247716";"12.5443926118454";"345607";"12.450848859778";"1296775";"6336100";"346087";"6332150";"5670";"5191";"12.4600790573482";"57.1072680808864"
"18";"Getinge";"Halmstad";"Halmstad";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Getinge--Halland";"6300542";"56.8288081571436";"56.8725926633374";"56.7818322299782";"12.6826408502393";"12.8580198126764";"364055";"12.7721534791338";"1314861";"6304324";"364334";"6301425";"6877";"6131";"12.7703303314578";"56.8428382327785"
"19";"Ösmo";"Sotholm";"Nynäshamn";"Stockholms län";"Östmo";"";"socken";"1911 - Nynäshamns köping bröts ut ur Ösmo landskommun för att bilda en köping, Nynäshamn ombildades till en stad 1946 (Wikipedia)
1947 - Nynäshamns församling bröts ur Ösmo församling (Wikipedia)
1952 - Ösmo landskommun inkorporerade Torö landskommun (Wikipedia)";"Södermanland";"parish";"medeltida";"Ösmo--Södermanland";"6531977";"58.8939047796128";"59.0610629271602";"58.7193102366369";"17.7875075248421";"18.1119160079848";"670274";"17.9551645747585";"1623944";"6532187";"671372";"6531634";"19585";"19086";"17.9639511630102";"58.8779066701621"
"20";"Förlanda";"Fjäre";"Kungsbacka";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Förlanda--Halland";"6368020";"57.4267766999754";"57.4748261217431";"57.3811495554479";"12.2596892502554";"12.4194247637358";"340250";"12.3393287101664";"1291841";"6372120";"339737";"6367707";"6238";"6149";"12.3426402969623";"57.4335102208817"
"21";"Frillesås";"Fjäre";"Kungsbacka";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Frillesås--Halland";"6357543";"57.3310129332013";"57.3588863757577";"57.3004784923448";"12.1350298315466";"12.3869952784012";"335352";"12.264902406892";"1286816";"6361695";"335224";"6357695";"7896";"7785";"12.2610125549739";"57.3364467938124"
"22";"Fjärås";"Fjäre";"Kungsbacka";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Fjärås--Halland";"6372995";"57.4688357346887";"57.5777359611295";"57.3852775235951";"12.0488570454727";"12.3445903861217";"332993";"12.2153594148611";"1284639";"6377184";"331562";"6374593";"13480";"12905";"12.1949020743669";"57.4805512531491"
"23";"Falkenberg";"";"Falkenberg";"Hallands län";"";"";"stad";"1863 - staden blev en egen kommun (Wikipedia)
1908 - Från Skrea landskommun inkorporerades Herting (Wikipedia).
1937 - Från Stafsinge landskommun inkorporerades Arvidstorp (Wikipedia).
1950 - Enligt beslut den 11 februari 1949 överfördes till staden från Vinbergs landskommun vissa områden med 12 invånare och omfattande 0,04 km² (Wikipedia).
1952 - Skrea landskommun inkorporerades i staden (Wikipedia)";"Halland";"town/borough";"Det första kända privilegiebrevet för staden är från 1558 (Wikipedia).";"Falkenberg--Halland";"6307348";"56.8846318653641";"56.9177403459416";"56.8481019526661";"12.4309274205477";"12.5703318569204";"347132";"12.491004929401";"1298008";"6311332";"347822";"6307634";"5455";"4709";"12.5006296387341";"56.8891824560063"
"24";"Fagered";"Faurås";"Falkenberg";"Hallands län";"Fagerred";"";"socken";"";"Halland";"parish";"medeltida";"Fagered--Halland";"6344101";"57.2203992134571";"57.2700524314135";"57.1675560360065";"12.706304118819";"12.8737481160768";"366008";"12.7809183532463";"1317329";"6347882";"365880";"6343872";"6200";"5937";"12.7903111901678";"57.2270506227811"
"25";"Enslöv";"Tönnersjö";"Halmstad";"Hallands län";"Enslöf, Oskarström";"Oskarströms köping räknas här som en del av Enslövs socken.";"socken";"1947 - Oskarströms köping bildades den 1 januari 1947 (enligt beslut den 29 mars 1946) genom en utbrytning av Oskarströms municipalsamhälle ur Enslövs och Slättåkra landskommuner (Wikipedia). ";"Halland";"parish";"medeltida";"Enslöv--Halland";"6295656";"56.7894789223286";"56.8921300919399";"56.690019668156";"12.8237355599909";"13.1853945631819";"380494";"13.0437285819779";"1331250";"6299241";"380054";"6295612";"13599";"13156";"13.0012697934311";"56.822462389348"
"26";"Ytterjärna";"Öknebo";"Södertälje";"Stockholms län";"Ytter-Järna, Ytter-Jerna, Järna, Jerna";"";"socken";"1927 - Håknäs 1 flyttades i alla avsenden från Överjärna till Ytterjärna genom kungligt brev 25/11 1927 (Lagerstedt, 1973)
1952 - Ytterjärna landskommun uppgick i Järna landskommun (Wikipedia)";"Södermanland";"parish";"medeltida";"Ytterjärna--Södermanland";"6553419";"59.0937308494021";"59.136517834549";"59.0355150375625";"17.4186018411703";"17.6952352871579";"649723";"17.613549145618";"1603648";"6553881";"646492";"6553193";"11414";"8303";"17.5569185641641";"59.1082198849776"
"27";"Hakarp";"Tveta";"Jönköping";"Jönköpings län";"";"";"socken";"1907 - Ur landskommunen utbröts Huskvarna köping (Wikipedia).
1967 - Landskommunen uppgick i Huskvarna stad (Wikipedia)";"Småland";"parish";"medeltida
En mindre del av Sanna socken införlivades 1556 (Wikipedia).";"Hakarp--Småland";"6405617";"57.7907627030424";"57.8312009407404";"57.7333671668702";"14.2625346794425";"14.3730107771976";"459533";"14.319331966693";"1411628";"6408316";"458453";"6404795";"6410";"5781";"14.3142983193532";"57.7935298974903"
"28";"Ytterenhörna";"Selebo";"Södertälje";"Stockholms län";"Ytter-Enhörna, Ytter Enhörna";"";"socken";"1869 - Grind 1/2 hörde enligt jordeboken till Ytterenhörna socken. Hemmanet, som i kyrkligt och kommunalt avsende åtminstone senare hörde till överenhörna, men var beläget inom Ytterenhörna, flyttades helt till Ytterenehörna genom kungligt brev 18/6 1869 (Lagerstedt, 1973)
1869 - Bro (Ymparetorp) 1/4 och Glastäppan 1/4 hörde enligt jordeboken till Övernenhörna i Selebo. Hemmanen flyttades i jordeboken från Överenhörna till Ytternehörna genom kungligt brev 18/6 1869 (Lagerstedt, 1973)
1948 - Ytterenhörna landskommun uppgick i Enhörna landskommun (Wikipedia)
1967 - Enhörna landskommun uppgick i Södertälje stad (Wikipedia)";"Södermanland";"parish";"medeltida";"Ytterenhörna--Södermanland";"6571588";"59.259522859303";"59.3022852639592";"59.2238668402092";"17.345241575715";"17.5934346001475";"641542";"17.4827201569916";"1595686";"6572151";"640844";"6570774";"7865";"7117";"17.4693380879312";"59.2486855299972"
"29";"Hagshult";"Östbo";"Vaggeryd";"Jönköpings län";"Hackshult";"";"socken";"1876 - Före 1876 hörde 1 mantal Jernboda (Järnboda 2) till Svenarums jordebokssocken i Västra härad (Wikipedia).";"Småland";"parish";"medeltida";"Hagshult--Småland";"6355927";"57.3436339990837";"57.3843742353053";"57.2912762932869";"14.090721491941";"14.3103429337297";"451403";"14.1925686078862";"1402905";"6358702";"451865";"6354870";"7707";"7532";"14.2005322128353";"57.3341410281761"
"30";"Vätö";"Bro och Vätö skeppslag";"Norrtälje";"Stockholms län";"Wätö, Vetö";"";"socken";"1914 - Björkö-Arholma församling bröts ut (Wikipedia)
1917 - Björkö-Arholma landskommun, (Björkö-Arholma socken) bröts ut (Wikipedia). 
1952 - Vätö landskommun uppgick i Lyhundra landskommun (Wikipedia)";"Uppland";"parish";"medeltida";"Vätö--Uppland";"6636461";"59.803342076297";"59.8700029339569";"59.7589413849535";"18.8429892729517";"19.3720844138451";"727158";"19.0501221903699";"1682102";"6635995";"730375";"6636658";"18120";"14907";"19.1075368433984";"59.8031286484695"
"31";"Västra Ryd";"Bro";"Upplands-Bro";"Stockholms län";"Ryd";"Ryds socken i Bro härad fick namnet Västra Ryd genom kungligt brev 23/8 1940 (Lagersetdt, 1973)
Använder namnet Västra Ryd även om det officielt ändrades efter 1940 av praktiska själ.";"socken";"1952 - Västra Ryds landskommun uppgick i Upplands-Bro landskommun (Wikipedia)";"Uppland";"parish";"medeltida";"Västra Ryd--Uppland";"6603455";"59.5402844743046";"59.5918368259675";"59.4958325347392";"17.6855484030482";"17.8356860153646";"656057";"17.7601669530334";"1610590";"6603849";"655613";"6603796";"5788";"5505";"17.7606172092064";"59.5363569433266"
"32";"Gällaryd";"Östbo";"Värnamo";"Jönköpings län";"";"";"socken";"1877 - Blekemo 1/4, Bohult 1 1/2, Flathalla 1/4, Frälsmo 1/4, Os 1, Svenamo 1. Sockendelen flyttades från Nydala till Gällaryds socken genom kungligt brev 19/1 1877 (Lagerstedt, 1973).
1947 - Överfördes till Gällaryds socken det obebodda området Uddarne, omfattande en areal av 0,02 km² (varav allt land), från Slätthögs socken i Kronobergs län (Wikipedia).";"Småland";"parish";"medeltida";"Gällaryd--Småland";"6334249";"57.149593506002";"57.237976305124";"57.0716815212286";"14.2028551003433";"14.3993905341811";"457933";"14.3047419813974";"1409181";"6336938";"457012";"6334845";"9866";"9259";"14.3005541542026";"57.1364428491597"
"34";"Gryteryd";"Västbo";"Gislaved";"Jönköpings län";"";"
";"socken";"1883 - Bössingshult 1/2 och Kindhult 2 flyttades i alla avseenden från Hestra till Gryteryd socken genom kungligt brev 19/10 1883 (Lagerstedt, 1973)";"Småland";"parish";"medeltida";"Gryteryd--Småland";"6329924";"57.0986590023392";"57.1509180337069";"57.0422725930116";"13.0770844935625";"13.1859764704357";"386513";"13.1267438211368";"1337677";"6333456";"388032";"6329655";"6745";"6119";"13.1315304819991";"57.0911207975989"
"35";"Västerhaninge";"Sotholm";"Haninge";"Stockholms län";"Westerhannige, Vesterhanninge, Westerhaninge, Vesterhaninge";"";"socken";"1937 - Ytterligare en en midre del av Västerhaninge flyttades till Muskö genom kungligt brev 4/6 1937 (Lagerstedt, 1973).
1952 - Muskö landskommun uppgick i Västerhaninge landskommun (Wikipedia)";"Södermanland";"parish";"medeltida
1731 utbröts Muskö socken (Wikipedia).";"Västerhaninge--Södermanland";"6554081";"59.0901938992785";"59.1566916244936";"58.9958319845137";"17.91420709536";"18.180399589475";"674665";"18.0488065119735";"1628603";"6554241";"673807";"6552678";"10513";"9230";"18.0473033424175";"59.0967752465222"
"36";"Värmdö";"Värmdö skeppslag";"Värmdö";"Stockholms län";"Wermdö, Wärmdö, Vermdö";"Rindö och Tynningö ligger i Vaxholms kommun.";"socken";"1860 - Rindön 2, Skarpön 1, Ramsön 2, Tynningön 2 skildes 1869 från Värmdö och lades till Vaxholms pastorat genom kungligt brev 25/5 1860 (Lagerstedt, 1973).
1902 - Gustavsbergs socken utbröts (Wikipedia)
1913 - Rindö överfördes till Vaxholms stad (Wikipedia)
1926 - Vindö med kringliggande öar överfördes till Djurö socken (Wikipedia)
1950 - Tynningö och Skarpö överfördes till Vaxholms stad (Wikipedia)";"Uppland";"parish";"medeltida
1631 utbröts Södra Ljusterö församling, 1635 Boo församling, 1638 Möja församling 1683 Djurö församling och 1792 Ingarö församling. De utbrutna socknarna blev i många fall egna jordeboksocknar först 1889/1890 (Wikipedia).";"Värmdö--Uppland";"6587083";"59.3734600263759";"59.4735627474664";"59.2259057074457";"18.2994537328763";"18.8736158719873";"702999";"18.5732682352545";"1657341";"6586905";"705045";"6588287";"20097";"17740";"18.5865348024318";"59.4144390433328"
"37";"Gnosjö";"Västbo";"Gnosjö";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Gnosjö--Småland";"6355462";"57.3358191276726";"57.3834089328489";"57.2859621520779";"13.6743159296154";"13.8421265919251";"424626";"13.747908321451";"1376111";"6358554";"424643";"6355130";"6187";"5904";"13.7584884417114";"57.3381689338713"
"38";"Färgaryd";"Västbo";"Hylte";"Hallands län";"Färgeryd";"";"socken";"";"Småland";"parish";"medeltida";"Färgaryd--Småland";"6314547";"56.9624443775013";"57.0127279314733";"56.9031187057303";"13.1483818431082";"13.3765583761969";"394401";"13.2633248488482";"1345387";"6317977";"394306";"6314968";"7285";"7061";"13.2624701096526";"56.9687313979174"
"39";"Väddö";"Väddö och Häverö skeppslag";"Norrtälje";"Stockholms län";"Wäddö, Veddö";"";"socken";"1890 - Lervik 1/2 hörde enligt jordeboken till Väddö socken och Upptogs bland de byar av Vätö socken, som lagts till Väddö havfärja. Hemmanet överföres i kyrkligt och kommunalt avsende från Vätö till Väddö genom kungligt brev 13/12 1890 (Lagerstedt, 1973)";"Uppland";"parish";"medeltida";"Väddö--Uppland";"6657019";"59.9941360743224";"60.1289468602586";"59.8823851056733";"18.6901108165112";"19.0414191952228";"715004";"18.8552285168774";"1670197";"6656704";"717800";"6659063";"15358";"14512";"18.870980741804";"59.9647625732208"
"40";"Eldsberga";"Tönnersjö";"Halmstad";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Eldsberga--Halland";"6275024";"56.6031376406706";"56.6647886287249";"56.5460707189703";"12.9255839914274";"13.050565008484";"376324";"12.9853486744631";"1326835";"6278647";"376989";"6275305";"7217";"6750";"12.9820654243645";"56.608511575242"
"41";"Fröderyd";"Västra";"Vetlanda";"Jönköpings län";"Fröryd";"
";"socken";"1883 - Fröset 3 flyttades i alla avseenden från Skeppestad till Fröderyds socken genom kungligt brev 9/11 1883 (Lagerstedt, 1973)";"Småland";"parish";"medeltida";"Fröderyd--Småland";"6349481";"57.2882598573402";"57.3590329632797";"57.2075279722145";"14.7742696290488";"14.9403611288224";"490787";"14.8471941115287";"1442228";"6351787";"489728";"6348933";"9036";"8433";"14.8592458184181";"57.2756736813227"
"42";"Vårdinge";"Öknebo";"Södertälje";"Stockholms län";"Wårdinge";"";"socken";"1952 -  Vårdinge landskommun. Landskommunen inkorporerades i Järna landskommun (Wikipedia)";"Södermanland";"parish";"medeltida";"Vårdinge--Södermanland";"6549339";"59.0614518638482";"59.1449044682495";"58.9804528815652";"17.3120806668818";"17.4854708806217";"636939";"17.3880740418368";"1590813";"6549954";"636361";"6549505";"10158";"9767";"17.383284010718";"59.0670353661698"
"43";"Eftra";"Årstad";"Falkenberg";"Hallands län";"";"";"socken";"";"Halland";"parish";"medeltida";"Eftra--Halland";"6300926";"56.8294054894855";"56.8878507547793";"56.7781562538214";"12.5268179441439";"12.6860845466253";"354622";"12.6174852642735";"1305427";"6304819";"355237";"6301515";"7156";"6361";"12.6064622441764";"56.833452119093"
"44";"Vidbo";"Seminghundra";"Sigtuna";"Stockholms län";"Vibo";"Örsvreten - Björknäs ligger i Knivsta kommun, Uppsala län.";"socken";"1952 - Vidbo landskommun uppgick i Skepptuna landskommun (Wikipedia)";"Uppland";"parish";"medeltida";"Vidbo--Uppland";"6622278";"59.7044475337871";"59.7453191733861";"59.6611691952309";"17.9098490486618";"18.0478701694425";"668008";"17.9861803905554";"1622771";"6622530";"668549";"6622169";"4956";"4888";"17.9788596090522";"59.7204961993589"
"45";"Fryele";"Östbo";"Värnamo";"Jönköpings län";"Fryeled";"";"socken";"1878 - Före 1878 hörde 1/2 mtl Älmhult till Nydala jordebokssocken i Västra härad (Wikipedia).";"Småland";"parish";"medeltida";"Fryele--Småland";"6346310";"57.2573091122114";"57.3310845487902";"57.1858906107106";"14.0770537798301";"14.2933940430396";"451707";"14.1994542784143";"1403095";"6349077";"451883";"6345911";"9150";"8716";"14.1840950540244";"57.2443479119724"
"46";"Drängsered";"Årstad";"Hylte";"Hallands län";"Drengsered";"";"socken";"1887 - (enligt beslut den 10 september 1886) överfördes ½ mantal Ballabo från Drängsereds socken till Kinnareds socken (Wikipedia).";"Halland";"parish";"medeltida";"Drängsered--Halland";"6320591";"57.0120842225744";"57.0988886835328";"56.9407284769586";"12.8210394763205";"13.0896304642646";"375749";"12.9538834608854";"1326797";"6324245";"376097";"6322825";"12296";"10423";"12.9557694841446";"57.0318446269932"
"47";"Frinnaryd";"Norra Vedbo";"Aneby";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Frinnaryd--Småland";"6420452";"57.9257728043154";"57.9531628938186";"57.8939095030961";"14.8099050275043";"15.0126954000158";"493638";"14.8925899456928";"1445924";"6422750";"494679";"6419637";"7116";"6106";"14.91130021376";"57.9275403839408"
"48";"Ore";"";"Rättvik";"Dalarnas län";"Ohre";"";"socken";"1934 - överfördes en del av Finsthögst till Voxna socken i Gävleborgs län (Wikipedia).
1934 - Enligt kungligt beslut d. 31 mars 1933 ha vissa till lägenheten Finsthögst hörande områden med en areal av 0,55 km2, allt land, från 1934 års ingång i allo överflyttats från Ore socken i Kopparbergs län till Voxna socken i Gävleborgs län (Folkräkningen 1940). ";"Dalarna";"parish";"bildades 1607 (Wikipedia)";"Ore--Dalarna";"6793170";"61.2727910740288";"61.595793103013";"61.0592533643265";"15.0147307559781";"15.6573563393598";"514147";"15.2636328296542";"1470966";"6795351";"507690";"6799029";"36491";"30137";"15.3125727816617";"61.2827300536012"
