"id";"district";"alt_names";"comments";"province";"typeEng";"TYPenATIVE";"Latitude";"Longitude";"precision";"xmax";"xmin";"ymax";"ymin"
"16470";"Sturkö";"Storkö";"Socknen bildades 12 juni 1564 genom en utbrytning ur Lyckeby socken (Wikipedia). 1851 överfördes hemmanen 49-50 Sanda från Lösens socken till Sturkö socken (Wikipedia). Härad: Östra";"Blekinge";"parish";"socken";"56,08457";"15,68605";"6596";"15,75635";"15,62379";"56,13769";"56,028"
"16471";"Sölvesborg";"Sölfvitsborg, Sölvitsborg";"Sölvesborg stad räknas här som en del av socknen. Ön Hanö överfördes 1885 från Sölvesborg socken till Mjällby socken(Wikipedia). Härad: Lister";"Blekinge";"parish";"socken";"56,0362";"14,57337";"12795";"14,64003";"14,53288";"56,09804";"56,00687"
"16472";"Tjurkö";\N;"1 maj 1888 bildades socken genom en utbrytning ur Augerums socken (Wikipedia). Härad: Östra";"Blekinge";"parish";"socken";"56,10886";"15,61466";"5342";"15,65455";"15,5844";"56,14989";"56,06115"
"16473";"Torhamn";"Thorhamn";"Härad: Östra";"Blekinge";"parish";"socken";"56,10436";"15,84552";"20090";"15,97146";"15,71728";"56,20288";"56,00787"
"16474";"Tving";"Twing";"1870 bröts Eringsboda socken ut (Wikipedia). Härad: Medelstad";"Blekinge";"parish";"socken";"56,36008";"15,43099";"10352";"15,51292";"15,29691";"56,45139";"56,27052"
"16475";"Ysane";\N;"Härad: Lister";"Blekinge";"parish";"socken";"56,11277";"14,68469";"6529";"14,71147";"14,63049";"56,16509";"56,06304"
"16476";"Åryd";\N;"Härad: Bräkne";"Blekinge";"parish";"socken";"56,25317";"15,00794";"13615";"15,07116";"14,94162";"56,37136";"56,1213"
"16477";"Öljehult";\N;"Socknen bildades 4 maj 1859 genom en utbrytning ur Bräkne-Hoby socken (Wikipedia). Härad: Bräkne";"Blekinge";"parish";"socken";"56,39128";"15,03048";"7452";"15,13054";"14,93092";"56,45089";"56,34265"
"24699";"";\N;\N;"Bohuslän";"";"";\N;\N;\N;\N;\N;\N;\N
"16478";"Askum";"Kungshamn, Gravarne, Malmön, Smögen";"Kungshamns församling utbröts 20 februari 1772 som kapellförsamling ur Askums församling (Wikipedia). Smögens församling bildades 1924 genom en utbrytning ur Kungshamns församling. Malmöns jordebokssocken införlivades 1940. Härad: Sotenäs";"Bohuslän";"parish";"socken";"58,38036";"11,2691";"10728";"11,3909";"11,13841";"58,45153";"58,29288"
"16479";"Backa";\N;"Härad: Västra Hising";"Bohuslän";"parish";"socken";"57,74908";"11,96984";\N;\N;\N;\N;\N
"16480";"Björlanda";\N;"Härad: Västra Hising";"Bohuslän";"parish";"socken";"57,75533";"11,81315";"6019";"11,89684";"11,71908";"57,7945";"57,70414"
"16481";"Bokenäs";\N;"Ur socknen utbröts tidigt Dragsmarks socken (Wikipedia). Härad: Lane";"Bohuslän";"parish";"socken";"58,29179";"11,59587";"6289";"11,67824";"11,50932";"58,34711";"58,2388"
"16482";"Bottna";\N;"Härad: Kville";"Bohuslän";"parish";"socken";"58,51159";"11,40092";"4709";"11,45372";"11,33865";"58,53632";"58,48431"
"16483";"Brastad";\N;"Härad: Stångenäs";"Bohuslän";"parish";"socken";"58,38621";"11,52249";"6369";"11,60188";"11,4231";"58,43335";"58,33672"
"16484";"Bro";\N;"Härad: Stångenäs";"Bohuslän";"parish";"socken";"58,42252";"11,47186";"13652";"11,58524";"11,35382";"58,49609";"58,31689"
"16485";"Bärfendal";"Berffendal, Berfendal";"Härad: Sotenäs";"Bohuslän";"parish";"socken";"58,50673";"11,47709";"4002";"11,51864";"11,43671";"58,53893";"58,47046"
"16486";"Dragsmark";\N;"Dragsmarks socken bildades tidigt genom en utbrytning ur Bokenäs socken (Wikipedia). Härad: Lane";"Bohuslän";"parish";"socken";"58,25631";"11,53357";"4091";"11,60226";"11,47256";"58,28951";"58,22723"
"16487";"Forshälla";\N;"Härad: Fräkne";"Bohuslän";"parish";"socken";"58,28722";"11,94911";"11107";"12,11866";"11,76088";"58,33248";"58,22729"
"16488";"Foss";\N;"Härad: Tunge";"Bohuslän";"parish";"socken";"58,46327";"11,68419";"8580";"11,79851";"11,57888";"58,53327";"58,39683"
"16489";"Grinneröd";\N;"Härad: Fräkne";"Bohuslän";"parish";"socken";"58,18879";"11,97033";"6121";"12,04332";"11,90277";"58,2417";"58,1493"
"16490";"Gullholmen";\N;"Gullholmens församling bildades 1798 som kapellförsamling genom utbrytning ur Morlanda församling (Wikipedia). Församlingens status ändrades 1924 då den blev annexförsamling i Morlanda pastorat, och samma år blev den också en egen jordebokssocken (Wikipedia). Härad: Orusts västra";"Bohuslän";"parish";"socken";"58,16003";"11,37502";"4582";"11,42861";"11,29984";"58,1925";"58,12843"
"16491";"Harestad";\N;"Härad: Inlands Södre";"Bohuslän";"parish";"socken";"57,81239";"11,8278";"4416";"11,89037";"11,77068";"57,84179";"57,78244"
"16492";"Hede";\N;"Härad: Sörbygden";"Bohuslän";"parish";"socken";"58,57696";"11,75181";"6578";"11,85696";"11,65942";"58,62882";"58,52574"
"16493";"Herrestad";"Herresta";"Härad: Lane";"Bohuslän";"parish";"socken";"58,37229";"11,82594";"12434";"11,97427";"11,70777";"58,45221";"58,29961"
"16494";"Hjärtum";"Hjertum";"Härad: Torpe";"Bohuslän";"parish";"socken";"58,2055";"12,09315";"11839";"12,22863";"11,98262";"58,30826";"58,10855"
"16495";"Hogdal";\N;"Härad: Vette";"Bohuslän";"parish";"socken";"59,03731";"11,19767";"9658";"11,29101";"11,07174";"59,09885";"58,97116"
"16496";"Håby";\N;"Härad: Tunge";"Bohuslän";"parish";"socken";"58,5096";"11,62472";"5643";"11,69979";"11,54441";"58,55291";"58,46231"
"16497";"Hålta";\N;"Härad: Hålta";"Bohuslän";"parish";"socken";"57,89404";"11,82154";"4984";"11,89788";"11,74306";"57,92024";"57,86541"
"16498";"Högås";\N;"Härad: Lane";"Bohuslän";"parish";"socken";"58,32384";"11,69798";"4584";"11,7742";"11,63681";"58,35662";"58,29817"
"16499";"Jörlanda";\N;"Härad: Nordre";"Bohuslän";"parish";"socken";"57,98718";"11,86409";"8182";"11,9953";"11,73702";"58,0345";"57,95324"
"16500";"Kareby";\N;"Härad: Inland";"Bohuslän";"parish";"socken";"57,91203";"11,93386";"5536";"11,9991";"11,85066";"57,9615";"57,87933"
"16501";"Klädesholmen";\N;"Klädesholmens församling bildades 1794 som kapellförsamling genom en utbrytning ur Stenkyrka församling (Wikipedia). Härad: Tjörn";"Bohuslän";"parish";"socken";"57,94363";"11,53799";"5548";"11,55586";"11,42214";"57,97231";"57,87537"
"16502";"Klövedal";\N;"Härad: Tjörn";"Bohuslän";"parish";"socken";"58,02999";"11,52318";"7261";"11,6442";"11,42586";"58,0842";"57,97231"
"16503";"Krokstad";\N;"Härad: Sörbygden";"Bohuslän";"parish";"socken";"58,69758";"11,76138";"13537";"11,8743";"11,66642";"58,81899";"58,60044"
"16504";"Kungälv";"Kongahälla";"Rödbo socken har kallats Kungälv socken som inte är samma sak som staden? Har Kungälv haft stadrättigheter eller varigt en Köping?";"Bohuslän";"town/borough";"stad";"57,87127";"11,98884";"2440";"12,02701";"11,94778";"57,88153";"57,86"
"16505";"Kville";"Qville";"Tidigt införlivades Vrems socken (Wikipedia). Härad Kville";"Bohuslän";"parish";"socken";"58,58563";"11,28109";"18748";"11,52662";"10,99207";"58,70494";"58,5112"
"16506";"Käringön";"Kjerringön, Kärringön";"Käringöns församling bildades 19 november 1795 som kapellförsamling genom utbrytning ur Morlanda församling (Wikipedia). 1924 blev den också en egen jordebokssocken (Wikipedia). Härad: Orusts västra";"Bohuslän";"parish";"socken";"58,1066";"11,35636";"4398";"11,39545";"11,31257";"58,1421";"58,07484"
"16507";"Lane-Ryr";"Ryr, Lane Ryr";"Härad: Lane";"Bohuslän";"parish";"socken";"58,40065";"12,04972";"7244";"12,15514";"11,94736";"58,45283";"58,34841"
"16508";"Ljung";\N;"Härad: Inlands Fräkne";"Bohuslän";"parish";"socken";"58,21172";"11,9221";"7263";"12,03063";"11,85036";"58,26426";"58,15798"
"16509";"Lommeland";"Lommelanda";"Härad: Vette";"Bohuslän";"parish";"socken";"59,076";"11,33294";"4445";"11,40188";"11,2748";"59,11494";"59,03968"
"16510";"Lur";\N;"Härad: Tanum";"Bohuslän";"parish";"socken";"58,81662";"11,34341";"11599";"11,47863";"11,14049";"58,86881";"58,76666"
"16511";"Lycke";\N;"Härad: Södre";"Bohuslän";"parish";"socken";"57,86335";"11,69783";"10639";"11,79651";"11,45886";"57,93894";"57,82603"
"16512";"Lyse";\N;"Omkring 1700 utbröts Lysekils församling vars område sedan i olika steg bildade Lysekils socken där sedan Lysekils köping inrättades (Wikipedia). Härad: Stångenäs";"Bohuslän";"parish";"socken";"58,31444";"11,43707";"9528";"11,58087";"11,28453";"58,36682";"58,26225"
"16513";"Lysekil";\N;"Omkring år 1700 bildades Lysekils församling utbruten från Lyse socken. 1838 bildades friköpingen Lysekils köping med egen municipalstyrelse (Wikipedia). Härad: Stångenäs";"Bohuslän";"town/borough";"friköping";"58,27731";"11,44608";"3575";"11,5047";"11,39571";"58,29367";"58,25909"
"16514";"Långelanda";\N;"Härad: Orust östra";"Bohuslän";"parish";"socken";"58,14965";"11,78225";"5415";"11,85595";"11,70491";"58,18804";"58,10568"
"16515";"Marstrand";\N;"fick stadsprivilier 1442 (Wikipedia)";"Bohuslän";"town/borough";"stad";"57,89031";"11,56952";"5789";"11,64675";"11,47718";"57,91811";"57,86975"
"16516";"Mo";\N;"Härad: Bullaren";"Bohuslän";"parish";"socken";"58,68722";"11,58687";"7397";"11,69551";"11,4562";"58,7343";"58,63197"
"16517";"Mollösund";\N;"Mollösunds församling bildades 1587 som kapellförsamling genom utbrytning ur Morlanda församling (Wikipedia). 1924 blev den också en engen jordebokssocken. Härad: Orust västra";"Bohuslän";"parish";"socken";"58,07302";"11,45453";"4072";"11,49888";"11,38647";"58,10059";"58,04905"
"16518";"Morlanda";"";"Ur församlingen utbröts: 1587 Mollösunds församling, på 1600-talet Fiskebäckskils församling, 1795 Käringöns församling, 1798 Grundsunds församling och Gullholmens församling. (Wikipedia). Den 1 januari 1947 (enligt beslut den 27 september 1945) överfördes från Morlanda socken till Tegneby socken hemmanet Rålandsberg med 10 invånare och omfattande 0,87 km², varav 0,86 km² land (Wikipedia). Härad: Orust västra.
Vi har inte Fiskebäckskil och Grundsund som en egen socken de upgick i Skaftö.";"Bohuslän";"parish";"socken";"58,16631";"11,48223";"10233";"11,59806";"11,38647";"58,2407";"58,08954"
"16519";"Myckleby";\N;"Härad: Orust östra";"Bohuslän";"parish";"socken";"58,21723";"11,78348";"7730";"11,86776";"11,67052";"58,27905";"58,17051"
"16520";"Naverstad";"Nafverstad";"Härad: Bullaren";"Bohuslän";"parish";"socken";"58,80545";"11,58723";"13092";"11,72845";"11,43275";"58,90826";"58,69869"
"16521";"Norum";\N;"Härad: Nordre";"Bohuslän";"parish";"socken";"58,06855";"11,8226";"6165";"11,91363";"11,74825";"58,12048";"58,02413"
"16522";"Näsinge";\N;"Härad: Vette";"Bohuslän";"parish";"socken";"59,022";"11,33985";"5361";"11,42755";"11,25959";"59,05775";"58,98261"
"16523";"Resteröd";\N;"Härad: Fräkne";"Bohuslän";"parish";"socken";"58,24517";"11,87901";"3915";"11,94156";"11,83121";"58,27304";"58,2111"
"16524";"Romelanda";\N;"Härad: Inlands Södre";"Bohuslän";"parish";"socken";"57,96616";"12,04994";"8262";"12,13272";"11,96805";"58,03099";"57,89233"
"16525";"Rödbo";"Kungälv, Kongahälla";"Den kallades till 1888 även Kungälvs socken (Wikipedia)";"Bohuslän";"parish";"socken";"57,83911";"11,97649";"3325";"12,01373";"11,921";"57,86498";"57,81636"
"16526";"Rönnäng";\N;"Rönnängs församling bildades 1794 som kapellförsamling genom en utbrytning ur Stenkyrka församling (Wikipedia). Tillhörde fortfarande Stenkyrak jordebokssocken (Wikipedia). Härad Tjörn.";"Bohuslän";"parish";"socken";"57,93278";"11,60771";"5166";"11,69408";"11,53272";"57,95359";"57,91712"
"16527";"Röra";\N;"Härad: Orust västra";"Bohuslän";"parish";"socken";"58,21627";"11,63942";"6178";"11,71094";"11,56647";"58,26238";"58,16954"
"16528";"Sanne";\N;"Härad: Sörbygden";"Bohuslän";"parish";"socken";"58,67423";"11,86789";"5991";"11,92146";"11,82078";"58,72643";"58,62273"
"16529";"Skaftö";"Fiskebäckskil, Grundsund";"Skaftö församling bildades 1 maj 1888 genom en utbrytning ur Morlanda församling däri samtidigt Fiskebäckskils församling och Grundsunds församling uppgick. 1892 bildades Skaftö landskommun och jordebokssocken genom utbrytning ur Morlanda landskommun och jordebokssocken.
Vi räknar Fiskebäckskil och Grundsund som delar av Skaftö socken. Härad: Orust västra";"Bohuslän";"parish";"socken";"58,22504";"11,41989";"8107";"11,50541";"11,28904";"58,26944";"58,17414"
"16530";"Skee";\N;"Tidigt införlivades Rällens socken. Omkring 1670 utbröts Strömstads stad och Strömstads församling (Wikipedia) Härad: Vette.";"Bohuslän";"parish";"socken";"58,93266";"11,29615";"15731";"11,46461";"11,11904";"59,03014";"58,82946"
"16531";"Skredsvik";\N;"Härad: Lane";"Bohuslän";"parish";"socken";"58,38671";"11,69566";"9298";"11,83049";"11,5748";"58,44519";"58,3148"
"16532";"Solberga";\N;"Härad: Nordre";"Bohuslän";"parish";"socken";"57,94231";"11,81198";"10676";"11,99057";"11,66894";"57,97881";"57,90284"
"16533";"Spekeröd";\N;"Härad: Nordre";"Bohuslän";"parish";"socken";"58,02255";"11,9396";"7152";"12,04158";"11,83267";"58,08398";"57,98658"
"16534";"Stala";"Stahla";"Härad: Orust östra";"Bohuslän";"parish";"socken";"58,12872";"11,66403";"7737";"11,74243";"11,55928";"58,18954";"58,07032"
"16535";"Stenkyrka";\N;"Härad: Tjörn";"Bohuslän";"parish";"socken";"57,98978";"11,61271";"8480";"11,72154";"11,48824";"58,06461";"57,93861"
"16536";"Strömstad";\N;"Stadsrättigheterna stadfästes formellt 1676 (Wikipedia). ";"Bohuslän";"town/borough";"stad";"58,93867";"11,17991";"2486";"11,21137";"11,14254";"58,95898";"58,92467"
"16537";"Svarteborg";"Tose";"Socknen införlivade under medeltiden Aspångs socken och på 1500-talet Tose socken (Wikipedia). Tose socken i Bohuslän uppgick under 1500-talet i kyrkligt hänseende i Svarteborgs socken, men kvarstod som jordebokssocken till 1888 (Wikipedia). Härad: Tunge";"Bohuslän";"parish";"socken";"58,58069";"11,57817";"10945";"11,68917";"11,48873";"58,66517";"58,48874"
"16538";"Svenneby";\N;"Härad: Kville";"Bohuslän";"parish";"socken";"58,49977";"11,29898";"9254";"11,39933";"11,17376";"58,54516";"58,45155"
"16539";"Säve";"Säfve";"Härad: Västra Hising";"Bohuslän";"parish";"socken";"57,79979";"11,93176";"5665";"12,01408";"11,83708";"57,84831";"57,75154"
"16540";"Tanum";\N;"Härad: Tanum";"Bohuslän";"parish";"socken";"58,71075";"11,20821";"18319";"11,50508";"11,09803";"58,817";"58,60138"
"16541";"Tegneby";\N;"Den 1 januari 1947 (enligt beslut den 27 september 1945) överfördes till Tegneby socken från Morlanda socken hemmanet Rålandsberg med 10 invånare och omfattande 0,87 km², varav 0,86 km² land (Wikipedia). Härad: Orust västra";"Bohuslän";"parish";"socken";"58,12539";"11,55127";"11471";"11,66508";"11,47684";"58,20996";"58,05204"
"16542";"Tjärnö";\N;"Härad: Vette";"Bohuslän";"parish";"socken";"58,87565";"11,11906";"11064";"11,25744";"10,95052";"58,96958";"58,80949"
"16543";"Torp";\N;"Härad: Orust östra";"Bohuslän";"parish";"socken";"58,26759";"11,72182";"9463";"12,0802";"11,84044";"58,55853";"58,43221"
"16544";"Torsby";"Thorsby";"Den 1 januari 1951 (enligt beslut den 10 februari 1950) överfördes från Torsby socken till Ytterby socken ett till fastigheterna Ugglehed 1:2 och 1:3 hörande obebott område, omfattande 0,01 km² land (Wikipedia). Härad: Inlands södre";"Bohuslän";"parish";"socken";"57,82326";"11,71833";"10627";"11,85724";"11,53971";"57,87444";"57,7711"
"16545";"Torslanda";"Thorslanda";"Härad: Västra hising";"Bohuslän";"parish";"socken";"57,70423";"11,74393";"4965";"11,80831";"11,69101";"57,74604";"57,66479"
"16546";"Tossene";\N;"Härad: Sotenäs";"Bohuslän";"parish";"socken";"58,45465";"11,37154";"7785";"11,46586";"11,23846";"58,50023";"58,39085"
"16547";"Ucklum";\N;"Härad: Inlands Nordre";"Bohuslän";"parish";"socken";"58,08812";"11,98236";"7829";"12,04732";"11,90278";"58,15283";"58,03099"
"16548";"Uddevalla";"Oddewall, Bäve, Bärfe, Bäfve, Uddewalla";"Uddevalla stad och Uddevalla församling bröts ut före år 1500 från Bäve socken. Därefter fortlevde Bäve som egen socken, men delade kyrka med Uddevalla (Wikipedia). Landskommunen inkorporerades 1945 i Uddevalla stad (Wikipedia).
Vi räknar Bäve socken som en del av Udevalla stad (jag tycker det är fel...). ";"Bohuslän";"town/borough";"stad";"58,35472";"11,97496";"9267";"12,12231";"11,86504";"58,427";"58,30875"
"16549";"Valla";\N;"Härad: Tjörn";"Bohuslän";"parish";"socken";"58,04795";"11,71474";"8515";"11,79518";"11,59801";"58,10587";"57,97164"
"16550";"Västerlanda";"Vesterlanda";"Härad: Torpe";"Bohuslän";"parish";"socken";"58,0718";"12,09332";"7723";"12,14993";"12,034";"58,14062";"58,00835"
"16551";"Ytterby";"Kungälv, Kongahälla";"1127 utbröts Kongahälla (Wikipedia). Härad: Södre";"Bohuslän";"parish";"socken";"57,86684";"11,91878";"7591";"12,03736";"11,84107";"57,90249";"57,82638"
"16552";"Öckerö";\N;"Härad: Västra Hising";"Bohuslän";"parish";"socken";"57,72542";"11,63782";"10341";"11,73132";"11,55746";"57,80923";"57,64669"
"16553";"Ödsmål";\N;"Härad: Inlands Nordre";"Bohuslän";"parish";"socken";"58,11803";"11,87878";"5209";"11,94543";"11,79736";"58,16026";"58,07577"
"24700";"";\N;\N;"Dalarna";"";"";\N;\N;\N;\N;\N;\N;\N
"16554";"Aspeboda";\N;"Aspeboda socken bildades 1640 genom en utbrytning ur Kopparbergs socken (Wikipedia).  I jordeboken låg Aspeboda under Kopparbergs socken ända fram till beslutet den 26 oktober 1888, då Aspeboda utbröts för att bli en separat jordebokssocken (Wikipedia).";"Dalarna";"parish";"socken";"60,58076";"15,4523";"9416";"15,60945";"15,3327";"60,65318";"60,52085"
"16555";"Avesta";\N;"Avesta socken bildades 1642 genom en utbrytning ur Grytnäs socken. I jordeboken låg Avesta under Grytnäs socken ända fram till beslutet den 26 oktober 1888 (Wikipedia). Härad: Folkare. Avesta stad tilldelades den 13 augusti 1641 stadsrättigheter med egen borgmästare men under Falu stads jurisdiktion.[1] Dessa privilegierna drogs in 1688. Det nutida Avesta stad bildades genom en ombildning av Avesta köping den 1 april 1919. Avesta stad räknas här som en del av Avesta socken.";"Dalarna";"parish";"socken";"60,14129";"16,15645";"4061";"16,21659";"16,08363";"60,16116";"60,12026"
"16556";"Bjursås";\N;"1583 bröts Bjursås ut ur Åls socken som kapellförsamling under Gagnefs församling. 1607 utfärdade Karl IX ett brev som gjorde Bjursås till egen socken. 1792 utökades socknen med Gopa tunnlag. Vrebo by (då med 154 innevånare) överfördes 1 januari 1929 från Åls socken till Bjursås (Wikipedia)";"Dalarna";"parish";"socken";"60,75952";"15,44774";"15871";"15,67427";"15,25684";"60,84191";"60,68363"
"16557";"Boda";"Ovanhed";"Boda församling utbröts redan 1618 ur Rättviks församling fram till 1850 kallad Ovanheds kapell. I jordeboken låg Boda under Rättviks socken ända fram till beslutet den 26 oktober 1888, då Boda utbröts för att bli en separat jordebokssocken (Wikipedia)";"Dalarna";"parish";"socken";"61,02994";"15,21688";"23185";"15,35253";"15,09203";"61,0905";"60,94701"
"16558";"Borlänge";\N;"År 1898 utbröts köpingen ur Stora Tuna landskommun efter att Borlänge varit ett municipalsamhälle där från den 29 maj 1891. Köpingen uppgick 1944 i Borlänge stad tillsammans med Domnarvets landskommun (Wikipedia)";"Dalarna";"town/borough";"köping";"60,51277";"15,43227";"5572";"15,50857";"15,36519";"60,56266";"60,47062"
"16559";"By";\N;"Härad: Folkare";"Dalarna";"parish";"socken";"60,25842";"16,48018";"14507";"16,70382";"16,29916";"60,37962";"60,12877"
